Loading tokenizer and model (this may take a while)...
Read 10000 train records
Building ORPO-style datasets (creating synthetic 'rejected' responses)...
Starting training...
{'loss': 2.6092, 'grad_norm': 1.1636658906936646, 'learning_rate': 1.9928e-05, 'rewards/chosen': -0.8355883359909058, 'rewards/rejected': -1.069198727607727, 'rewards/accuracies': 0.675000011920929, 'rewards/margins': 0.23361027240753174, 'logps/rejected': -10.691987037658691, 'logps/chosen': -8.355884552001953, 'logits/rejected': 0.5487064123153687, 'logits/chosen': 0.5444585680961609, 'nll_loss': 2.4972660541534424, 'log_odds_ratio': -1.11929452419281, 'log_odds_chosen': 2.337411880493164, 'epoch': 0.0}
{'loss': 2.5139, 'grad_norm': 1.3177663087844849, 'learning_rate': 1.9848e-05, 'rewards/chosen': -0.8345813751220703, 'rewards/rejected': -0.984844982624054, 'rewards/accuracies': 0.625, 'rewards/margins': 0.15026357769966125, 'logps/rejected': -9.848450660705566, 'logps/chosen': -8.34581470489502, 'logits/rejected': 0.8310776948928833, 'logits/chosen': 0.8299986124038696, 'nll_loss': 2.426234722137451, 'log_odds_ratio': -0.8771005868911743, 'log_odds_chosen': 1.5044602155685425, 'epoch': 0.01}
{'loss': 2.54, 'grad_norm': 1.1393874883651733, 'learning_rate': 1.9768e-05, 'rewards/chosen': -0.7493144869804382, 'rewards/rejected': -0.940574049949646, 'rewards/accuracies': 0.7749999761581421, 'rewards/margins': 0.19125968217849731, 'logps/rejected': -9.405741691589355, 'logps/chosen': -7.493144989013672, 'logits/rejected': 1.1598912477493286, 'logits/chosen': 1.1640045642852783, 'nll_loss': 2.4647953510284424, 'log_odds_ratio': -0.7518917918205261, 'log_odds_chosen': 1.9157902002334595, 'epoch': 0.01}
{'loss': 2.3598, 'grad_norm': 0.87451171875, 'learning_rate': 1.9688000000000002e-05, 'rewards/chosen': -0.8341620564460754, 'rewards/rejected': -1.003937005996704, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.1697748899459839, 'logps/rejected': -10.039369583129883, 'logps/chosen': -8.341619491577148, 'logits/rejected': 1.3175864219665527, 'logits/chosen': 1.3009217977523804, 'nll_loss': 2.3035099506378174, 'log_odds_ratio': -0.5631510019302368, 'log_odds_chosen': 1.699110984802246, 'epoch': 0.02}
{'loss': 2.3738, 'grad_norm': 0.7047446370124817, 'learning_rate': 1.9608000000000003e-05, 'rewards/chosen': -0.7028427124023438, 'rewards/rejected': -0.9453369975090027, 'rewards/accuracies': 0.7749999761581421, 'rewards/margins': 0.24249430000782013, 'logps/rejected': -9.453369140625, 'logps/chosen': -7.0284271240234375, 'logits/rejected': 1.5879491567611694, 'logits/chosen': 1.5851366519927979, 'nll_loss': 2.323387622833252, 'log_odds_ratio': -0.5038321018218994, 'log_odds_chosen': 2.4292104244232178, 'epoch': 0.02}
{'loss': 2.3216, 'grad_norm': 0.6531171202659607, 'learning_rate': 1.9528000000000003e-05, 'rewards/chosen': -0.660805881023407, 'rewards/rejected': -0.9370436668395996, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 0.2762377858161926, 'logps/rejected': -9.370436668395996, 'logps/chosen': -6.608058929443359, 'logits/rejected': 1.800516128540039, 'logits/chosen': 1.7776305675506592, 'nll_loss': 2.2608048915863037, 'log_odds_ratio': -0.6075236797332764, 'log_odds_chosen': 2.7664408683776855, 'epoch': 0.02}
{'loss': 2.1782, 'grad_norm': 0.7023438811302185, 'learning_rate': 1.9448e-05, 'rewards/chosen': -0.6823558807373047, 'rewards/rejected': -0.9267414808273315, 'rewards/accuracies': 0.7250000238418579, 'rewards/margins': 0.24438557028770447, 'logps/rejected': -9.267415046691895, 'logps/chosen': -6.823558807373047, 'logits/rejected': 1.8328285217285156, 'logits/chosen': 1.824815034866333, 'nll_loss': 2.1176795959472656, 'log_odds_ratio': -0.6056725382804871, 'log_odds_chosen': 2.449502468109131, 'epoch': 0.03}
{'loss': 2.2743, 'grad_norm': 0.5242696404457092, 'learning_rate': 1.9368e-05, 'rewards/chosen': -0.590682864189148, 'rewards/rejected': -0.8143630027770996, 'rewards/accuracies': 0.8500000238418579, 'rewards/margins': 0.2236800491809845, 'logps/rejected': -8.14362907409668, 'logps/chosen': -5.906829357147217, 'logits/rejected': 2.0463919639587402, 'logits/chosen': 2.040705919265747, 'nll_loss': 2.238110065460205, 'log_odds_ratio': -0.36164647340774536, 'log_odds_chosen': 2.2427468299865723, 'epoch': 0.03}
{'loss': 2.1421, 'grad_norm': 0.6583083271980286, 'learning_rate': 1.9288000000000002e-05, 'rewards/chosen': -0.6251192092895508, 'rewards/rejected': -0.8452719449996948, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.22015276551246643, 'logps/rejected': -8.452720642089844, 'logps/chosen': -6.251192569732666, 'logits/rejected': 1.9073063135147095, 'logits/chosen': 1.8931090831756592, 'nll_loss': 2.0893514156341553, 'log_odds_ratio': -0.527036190032959, 'log_odds_chosen': 2.2088143825531006, 'epoch': 0.04}
{'loss': 2.1926, 'grad_norm': 0.5828027725219727, 'learning_rate': 1.9208000000000003e-05, 'rewards/chosen': -0.6265522241592407, 'rewards/rejected': -0.8408042788505554, 'rewards/accuracies': 0.699999988079071, 'rewards/margins': 0.2142520695924759, 'logps/rejected': -8.408042907714844, 'logps/chosen': -6.26552152633667, 'logits/rejected': 1.8990552425384521, 'logits/chosen': 1.8901666402816772, 'nll_loss': 2.117094039916992, 'log_odds_ratio': -0.7552398443222046, 'log_odds_chosen': 2.149859666824341, 'epoch': 0.04}
{'loss': 2.1315, 'grad_norm': 0.4258614182472229, 'learning_rate': 1.9128e-05, 'rewards/chosen': -0.5073367357254028, 'rewards/rejected': -0.784206211566925, 'rewards/accuracies': 0.800000011920929, 'rewards/margins': 0.2768694758415222, 'logps/rejected': -7.842062473297119, 'logps/chosen': -5.073367118835449, 'logits/rejected': 1.6190712451934814, 'logits/chosen': 1.593666911125183, 'nll_loss': 2.0849361419677734, 'log_odds_ratio': -0.46591687202453613, 'log_odds_chosen': 2.786743640899658, 'epoch': 0.04}
